city,year,weekofyear,week_start_date,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,station_avg_temp_c,station_max_temp_c,station_min_temp_c,reanalysis_min_air_temp_k,reanalysis_specific_humidity_g_per_kg,station_diur_temp_rng_c,precipitation_amt_mm,reanalysis_sat_precip_amt_mm,reanalysis_precip_amt_kg_per_m2,station_precip_mm,reanalysis_relative_humidity_percent,reanalysis_tdtr_k
sj,1990,18,30/4/1990,0.1226,0.103725,0.1984833,0.1776167,297.5728571,297.7428571,292.4142857,299.8,25.44285714,29.4,20,295.9,14.01285714,6.9,12.42,12.42,32,16,73.36571429,2.628571429
sj,1990,19,7/5/1990,0.1699,0.142175,0.1623571,0.1554857,298.2114286,298.4428571,293.9514286,300.9,26.71428571,31.7,22.2,296.4,15.37285714,6.371428571,22.82,22.82,17.94,8.6,77.36857143,2.371428571
sj,1990,20,14/5/1990,0.03225,0.1729667,0.1572,0.1708429,298.7814286,298.8785714,295.4342857,300.5,26.71428571,32.2,22.8,297.3,16.84857143,6.485714286,34.54,34.54,26.1,41.4,82.05285714,2.3
sj,1990,21,21/5/1990,0.1286333,0.2450667,0.2275571,0.2358857,298.9871429,299.2285714,295.31,301.4,27.47142857,33.3,23.3,297,16.67285714,6.771428571,15.36,15.36,13.9,4,80.33714286,2.428571429
sj,1990,22,28/5/1990,0.1962,0.2622,0.2512,0.24734,299.5185714,299.6642857,295.8214286,301.9,28.94285714,35,23.9,297.5,17.21,9.371428571,7.52,7.52,12.2,5.8,80.46,3.014285714
sj,1990,23,4/6/1990,,0.17485,0.2543143,0.1817429,299.63,299.7642857,295.8514286,302.4,28.11428571,34.4,23.9,298.1,17.21285714,6.942857143,9.58,9.58,26.49,39.1,79.89142857,2.1
sj,1990,24,11/6/1990,0.1129,0.0928,0.2050714,0.2102714,299.2071429,299.2214286,295.8657143,301.3,27.41428571,32.2,23.3,297.7,17.23428571,6.771428571,3.48,3.48,38.6,29.7,82,2.042857143
sj,1990,25,18/6/1990,0.0725,0.0725,0.1514714,0.1330286,299.5914286,299.5285714,296.5314286,300.6,28.37142857,33.9,22.8,298.4,17.97714286,7.685714286,151.12,151.12,30,21.1,83.37571429,1.571428571
sj,1990,26,25/6/1990,0.10245,0.146175,0.1255714,0.1236,299.5785714,299.5571429,296.3785714,302.1,28.32857143,33.9,22.8,297.7,17.79,7.385714286,19.32,19.32,37.51,21.1,82.76857143,1.885714286
sj,1990,27,2/7/1990,,0.12155,0.1606833,0.2025667,300.1542857,300.2785714,296.6514286,302.3,28.32857143,33.9,24.4,298.7,18.07142857,6.514285714,14.41,14.41,28.4,1.1,81.28142857,2.014285714
sj,1990,28,9/7/1990,0.192875,0.08235,0.1919429,0.1529286,299.5128571,299.5928571,296.0414286,301.8,27.55714286,31.7,21.7,298,17.41857143,7.157142857,22.27,22.27,43.72,63.7,81.46714286,2.157142857
sj,1990,29,16/7/1990,0.2916,0.2118,0.3012,0.2806667,299.6671429,299.75,296.3342857,302,28.12857143,32.8,23.9,297.3,17.73714286,6.9,59.17,59.17,40.9,12.2,82.14428571,2.414285714
sj,1990,30,23/7/1990,0.1505667,0.1717,0.2269,0.2145571,299.5585714,299.6357143,295.96,301.8,28.11428571,31.7,22.8,297.1,17.34142857,6.357142857,16.48,16.48,42.53,32.6,80.74285714,2.071428571
sj,1990,31,30/7/1990,,0.24715,0.3797,0.3813571,299.8628571,299.95,296.1728571,303,28.24285714,34.4,22.8,298.3,17.59428571,8.085714286,32.66,32.66,34.6,37.6,80.58428571,2.585714286
